Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Single,False,1,TOP,2,0,1,,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Forceout,False,1,TOP,3,0,1,Javier Baez,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Forceout,False,1,TOP,4,0,2,Riley Greene,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Flyout,False,1,BOTTOM,5,0,0,,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Single,False,1,BOTTOM,6,0,1,,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Pop Out,False,1,BOTTOM,7,0,1,Wander Franco,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Lineout,False,1,BOTTOM,8,0,2,Wander Franco,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Groundout,False,2,TOP,9,0,0,,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
Double,False,2,TOP,10,0,1,,,,Shane McClanahan,Eduardo Rodriguez,Yandy Diaz,Wander Franco,Isaac Paredes,Randy Arozarena,Harold Ramirez,Manuel Margot,Brandon Lowe,Christian Bethancourt,Jose Siri,Matt Vierling,Javier Baez,Riley Greene,Eric Haase,Spencer Torkelson,Austin Meadows,Miguel Cabrera,Jonathan Schoop,Ryan Kreidler,Harold Ramirez,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Wander Franco,Randy Arozarena,Jose Siri,Manuel Margot,Miguel Cabrera,Eric Haase,Spencer Torkelson,Jonathan Schoop,Ryan Kreidler,Javier Baez,Austin Meadows,Riley Greene,Matt Vierling
