Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Single,False,1,TOP,2,0,1,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,1,TOP,3,0,1,621043 - Carlos Correa,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,1,TOP,4,0,2,621043 - Carlos Correa,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Double,False,1,BOTTOM,5,0,0,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Single,False,1,BOTTOM,6,0,0,,657077 - Alex Verdugo,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Single,False,1,BOTTOM,7,1,0,646240 - Rafael Devers,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Groundout,False,1,BOTTOM,8,1,0,,457759 - Justin Turner,646240 - Rafael Devers,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,1,BOTTOM,9,1,1,,457759 - Justin Turner,646240 - Rafael Devers,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,1,BOTTOM,10,1,2,,457759 - Justin Turner,646240 - Rafael Devers,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,2,TOP,11,1,0,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,2,TOP,12,1,1,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Hit By Pitch,False,2,TOP,13,1,2,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,2,TOP,14,1,2,572191 - Michael Taylor,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Strikeout,False,2,BOTTOM,15,1,0,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Double,False,2,BOTTOM,16,1,1,,,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
Groundout,False,2,BOTTOM,17,1,1,,680776 - Jarren Duran,,519242 - Chris Sale,543243 - Sonny Gray,657077 - Alex Verdugo,646240 - Rafael Devers,457759 - Justin Turner,807799 - Masataka Yoshida,571771 - Enrique Hernandez,671213 - Triston Casas,657136 - Connor Wong,680776 - Jarren Duran,644374 - Yu Chang,456781 - Donovan Solano,621043 - Carlos Correa,621439 - Byron Buxton,669304 - Jose Miranda,664247 - Kyle Garlick,543877 - Christian Vazquez,572191 - Michael Taylor,596146 - Max Kepler,650489 - Willi Castro,457759 - Justin Turner,657136 - Connor Wong,671213 - Triston Casas,571771 - Enrique Hernandez,646240 - Rafael Devers,644374 - Yu Chang,807799 - Masataka Yoshida,680776 - Jarren Duran,657077 - Alex Verdugo,621439 - Byron Buxton,543877 - Christian Vazquez,456781 - Donovan Solano,650489 - Willi Castro,669304 - Jose Miranda,621043 - Carlos Correa,664247 - Kyle Garlick,572191 - Michael Taylor,596146 - Max Kepler
