Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Pop Out,False,1,TOP,2,0,1,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Groundout,False,1,TOP,3,0,2,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Walk,False,1,BOTTOM,4,0,0,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Single,False,1,BOTTOM,5,0,0,Anthony Volpe,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Single,False,1,BOTTOM,6,0,0,Aaron Judge,,Anthony Volpe,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Lineout,False,1,BOTTOM,7,1,0,Anthony Rizzo,Aaron Judge,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Walk,False,1,BOTTOM,8,1,1,Anthony Rizzo,Aaron Judge,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Walk,False,1,BOTTOM,9,1,1,DJ LeMahieu,Anthony Rizzo,Aaron Judge,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Strikeout,False,1,BOTTOM,10,2,1,Oswald Peraza,DJ LeMahieu,Anthony Rizzo,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Double,False,1,BOTTOM,11,2,2,Oswald Peraza,DJ LeMahieu,Anthony Rizzo,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Flyout,False,1,BOTTOM,12,5,2,,Jose Trevino,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Strikeout,False,2,TOP,13,5,0,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Strikeout,False,2,TOP,14,5,1,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
Flyout,False,2,TOP,15,5,2,,,,Nestor Cortes,Patrick Sandoval,Anthony Volpe,Aaron Judge,Anthony Rizzo,Gleyber Torres,DJ LeMahieu,Oswald Peraza,Oswaldo Cabrera,Jose Trevino,Isiah Kiner-Falefa,Taylor Ward,Shohei Ohtani,Mike Trout,Anthony Rendon,Hunter Renfroe,Brandon Drury,Luis Rengifo,Logan O'Hoppe,Zach Neto,Gleyber Torres,Jose Trevino,Anthony Rizzo,Oswald Peraza,DJ LeMahieu,Anthony Volpe,Oswaldo Cabrera,Isiah Kiner-Falefa,Aaron Judge,Shohei Ohtani,Logan O'Hoppe,Brandon Drury,Luis Rengifo,Anthony Rendon,Zach Neto,Taylor Ward,Mike Trout,Hunter Renfroe
