Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Groundout,False,1,TOP,1,0,0,,,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Lineout,False,1,TOP,2,0,1,,,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Strikeout,False,1,TOP,3,0,2,,,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Flyout,False,1,BOTTOM,4,0,0,,,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Walk,False,1,BOTTOM,5,0,1,,,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Double,False,1,BOTTOM,6,0,1,Dansby Swanson,,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Double,False,1,BOTTOM,7,0,1,,Ian Happ,Dansby Swanson,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Strikeout,False,1,BOTTOM,8,2,1,,Seiya Suzuki,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Walk,False,1,BOTTOM,9,2,2,,Seiya Suzuki,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
Forceout,False,1,BOTTOM,10,2,2,Cody Bellinger,Seiya Suzuki,,Drew Smyly,Julio Urias,Nico Hoerner,Dansby Swanson,Ian Happ,Seiya Suzuki,Patrick Wisdom,Cody Bellinger,Trey Mancini,Yan Gomes,Nick Madrigal,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Miguel Vargas,James Outman,Trayce Thompson,Luke Williams,Austin Wynns,Patrick Wisdom,Yan Gomes,Trey Mancini,Nico Hoerner,Nick Madrigal,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,J.D. Martinez,Austin Wynns,Freddie Freeman,Miguel Vargas,Max Muncy,Luke Williams,James Outman,Trayce Thompson,Mookie Betts
