Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Lineout,False,1,TOP,2,0,1,,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Walk,False,1,TOP,3,0,2,,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Single,False,1,TOP,4,0,2,Andrew McCutchen,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Single,False,1,TOP,5,0,2,Carlos Santana,,Andrew McCutchen,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Single,False,1,TOP,6,-1,2,Connor Joe,Carlos Santana,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Game Advisory,False,1,TOP,7,-1,2,Oneil Cruz,Connor Joe,Carlos Santana,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Strikeout,False,1,TOP,7,-1,2,Oneil Cruz,Connor Joe,Carlos Santana,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Home Run,False,1,BOTTOM,8,-1,0,,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Strikeout,False,1,BOTTOM,9,0,0,,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
Strikeout,False,1,BOTTOM,10,0,1,,,,Nick Lodolo,Rich Hill,Jonathan India,Spencer Steer,Wil Myers,Tyler Stephenson,Kevin Newman,Stuart Fairchild,Curt Casali,Jose Barrero,TJ Friedl,Ke'Bryan Hayes,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Connor Joe,Oneil Cruz,Rodolfo Castro,Ji Hwan Bae,Austin Hedges,Kevin Newman,Curt Casali,Tyler Stephenson,Jonathan India,Spencer Steer,Jose Barrero,Stuart Fairchild,TJ Friedl,Wil Myers,Andrew McCutchen,Austin Hedges,Carlos Santana,Rodolfo Castro,Ke'Bryan Hayes,Oneil Cruz,Bryan Reynolds,Ji Hwan Bae,Connor Joe
