Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Strikeout,False,1,TOP,2,0,1,,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Flyout,False,1,TOP,3,0,2,,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Single,False,1,BOTTOM,4,0,0,,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Walk,False,1,BOTTOM,5,0,0,573131 - Darin Ruf,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Walk,False,1,BOTTOM,6,0,0,661388 - William Contreras,573131 - Darin Ruf,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Grounded Into DP,False,1,BOTTOM,7,0,0,642715 - Willy Adames,661388 - William Contreras,573131 - Darin Ruf,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Flyout,False,1,BOTTOM,8,1,2,,,661388 - William Contreras,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Walk,False,2,TOP,9,1,0,,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
Home Run,False,2,TOP,10,1,0,624424 - Michael Conforto,,,642547 - Freddy Peralta,622072 - Alex Wood,573131 - Darin Ruf,661388 - William Contreras,642715 - Willy Adames,592885 - Christian Yelich,680911 - Owen Miller,605119 - Brian Anderson,670712 - Mike Brosseau,621438 - Tyrone Taylor,686894 - Joey Wiemer,664774 - LaMonte Wade Jr.,666165 - Blake Sabol,605204 - J.D. Davis,624424 - Michael Conforto,571745 - Mitch Haniger,573262 - Mike Yastrzemski,669477 - Casey Schmitt,672275 - Patrick Bailey,689172 - Brett Wisely,573131 - Darin Ruf,661388 - William Contreras,670712 - Mike Brosseau,680911 - Owen Miller,605119 - Brian Anderson,642715 - Willy Adames,592885 - Christian Yelich,686894 - Joey Wiemer,621438 - Tyrone Taylor,666165 - Blake Sabol,672275 - Patrick Bailey,664774 - LaMonte Wade Jr.,689172 - Brett Wisely,605204 - J.D. Davis,669477 - Casey Schmitt,571745 - Mitch Haniger,573262 - Mike Yastrzemski,624424 - Michael Conforto
