Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Groundout,False,1,TOP,1,0,0,,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Single,False,1,TOP,2,0,1,,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Pop Out,False,1,TOP,3,0,1,Luis Robert Jr.,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Forceout,False,1,TOP,4,0,2,Luis Robert Jr.,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Single,False,1,BOTTOM,5,0,0,,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Strikeout,False,1,BOTTOM,6,0,0,Jeremy Pena,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Stolen Base 2B,True,1,BOTTOM,7,0,1,Jeremy Pena,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Strikeout,False,1,BOTTOM,7,0,1,,Jeremy Pena,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Strikeout,False,1,BOTTOM,8,0,2,,Jeremy Pena,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
Strikeout,False,2,TOP,9,0,0,,,,Framber Valdez,Dylan Cease,Jeremy Pena,Alex Bregman,Yordan Alvarez,Jose Abreu,Kyle Tucker,Yainer Diaz,Jake Meyers,Martin Maldonado,Mauricio Dubon,Tim Anderson,Luis Robert Jr.,Andrew Vaughn,Eloy Jimenez,Yoan Moncada,Andrew Benintendi,Yasmani Grandal,Elvis Andrus,Romy Gonzalez,Yainer Diaz,Martin Maldonado,Jose Abreu,Mauricio Dubon,Alex Bregman,Jeremy Pena,Yordan Alvarez,Jake Meyers,Kyle Tucker,Eloy Jimenez,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Romy Gonzalez
