Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Strikeout,False,1,TOP,2,0,1,,,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Single,False,1,TOP,3,0,2,,,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Single,False,1,TOP,4,0,2,677594 - Julio Rodriguez,,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Single,False,1,TOP,5,0,2,606192 - Teoscar Hernandez,677594 - Julio Rodriguez,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Walk,False,1,TOP,6,-1,2,672284 - Jarred Kelenic,,606192 - Teoscar Hernandez,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Strikeout,False,1,TOP,7,-1,2,553993 - Eugenio Suarez,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Double,False,1,BOTTOM,8,-1,0,,,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Single,False,1,BOTTOM,9,-1,0,,543760 - Marcus Semien,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
Strikeout,False,1,BOTTOM,10,0,0,608369 - Corey Seager,,,571760 - Andrew Heaney,693433 - Bryan Woo,543760 - Marcus Semien,608369 - Corey Seager,663993 - Nathaniel Lowe,666969 - Adolis Garcia,673962 - Josh Jung,641680 - Jonah Heim,641598 - Mitch Garver,677649 - Ezequiel Duran,665750 - Leody Taveras,641487 - J.P. Crawford,664034 - Ty France,677594 - Julio Rodriguez,606192 - Teoscar Hernandez,672284 - Jarred Kelenic,553993 - Eugenio Suarez,608596 - Tom Murphy,572041 - AJ Pollock,676609 - Jose Caballero,641598 - Mitch Garver,641680 - Jonah Heim,663993 - Nathaniel Lowe,543760 - Marcus Semien,673962 - Josh Jung,608369 - Corey Seager,677649 - Ezequiel Duran,665750 - Leody Taveras,666969 - Adolis Garcia,606192 - Teoscar Hernandez,608596 - Tom Murphy,664034 - Ty France,676609 - Jose Caballero,553993 - Eugenio Suarez,641487 - J.P. Crawford,572041 - AJ Pollock,677594 - Julio Rodriguez,672284 - Jarred Kelenic
