Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Double,False,1,TOP,1,0,0,,,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Double,False,1,TOP,2,0,0,,Christian Yelich,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Groundout,False,1,TOP,3,-1,0,,Willy Adames,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Flyout,False,1,TOP,4,-1,1,,Willy Adames,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Double,False,1,TOP,5,-1,2,,Willy Adames,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Single,False,1,TOP,6,-2,2,,Brian Anderson,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Double,False,1,TOP,7,-3,2,Luke Voit,,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Strikeout,False,1,TOP,8,-4,2,,Mike Brosseau,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Groundout,False,1,BOTTOM,9,-4,0,,,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
Flyout,False,1,BOTTOM,10,-4,1,,,,Michael Wacha,Eric Lauer,Xander Bogaerts,Manny Machado,Juan Soto,Nelson Cruz,Ha-Seong Kim,Luis Campusano,Brandon Dixon,Trent Grisham,Jose Azocar,Christian Yelich,Willy Adames,William Contreras,Rowdy Tellez,Brian Anderson,Luke Voit,Mike Brosseau,Owen Miller,Joey Wiemer,Nelson Cruz,Luis Campusano,Brandon Dixon,Ha-Seong Kim,Manny Machado,Xander Bogaerts,Juan Soto,Trent Grisham,Jose Azocar,Rowdy Tellez,William Contreras,Luke Voit,Owen Miller,Mike Brosseau,Willy Adames,Christian Yelich,Joey Wiemer,Brian Anderson
