Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Lineout,False,1,TOP,1,0,0,,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Walk,False,1,TOP,2,0,1,,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Grounded Into DP,False,1,TOP,3,0,1,Willy Adames,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Single,False,1,BOTTOM,4,0,0,,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Strikeout,False,1,BOTTOM,5,0,0,Julio Rodriguez,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Pickoff Caught Stealing 2B,True,1,BOTTOM,6,0,1,Julio Rodriguez,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Strikeout,False,1,BOTTOM,6,0,0,Julio Rodriguez,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Strikeout,False,2,TOP,7,0,0,,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Groundout,False,2,TOP,8,0,1,,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
Strikeout,False,2,TOP,9,0,2,,,,Marco Gonzales,Eric Lauer,Julio Rodriguez,Ty France,Eugenio Suarez,Teoscar Hernandez,AJ Pollock,Jarred Kelenic,Tom Murphy,Jose Caballero,J.P. Crawford,Mike Brosseau,Willy Adames,William Contreras,Jesse Winker,Brian Anderson,Luke Voit,Owen Miller,Joey Wiemer,Brice Turang,AJ Pollock,Tom Murphy,Ty France,Jose Caballero,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Jesse Winker,William Contreras,Luke Voit,Brice Turang,Mike Brosseau,Willy Adames,Owen Miller,Joey Wiemer,Brian Anderson
