Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Flyout,False,1,TOP,2,0,1,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Game Advisory,False,1,TOP,3,0,2,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Double,False,1,TOP,3,0,2,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Strikeout,False,1,TOP,4,0,2,,Francisco Lindor,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Flyout,False,1,BOTTOM,5,0,0,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Strikeout,False,1,BOTTOM,6,0,1,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Groundout,False,1,BOTTOM,7,0,2,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Flyout,False,2,TOP,8,0,0,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
Strikeout,False,2,TOP,9,0,1,,,,Shintaro Fujinami,Carlos Carrasco,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Luis Guillorme,Francisco Alvarez,Brent Rooker,Carlos Perez,Jesus Aguilar,Tony Kemp,Jace Peterson,Aledmys Diaz,Conner Capel,Esteury Ruiz,Ramon Laureano,Daniel Vogelbach,Francisco Alvarez,Pete Alonso,Jeff McNeil,Luis Guillorme,Francisco Lindor,Mark Canha,Brandon Nimmo,Starling Marte
