Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Home Run,False,1,TOP,1,0,0,,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Single,False,1,TOP,2,-1,0,,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Single,False,1,TOP,3,-1,0,Brandon Lowe,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Flyout,False,1,TOP,4,-1,0,Randy Arozarena,,Brandon Lowe,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Double,False,1,TOP,5,-1,1,Randy Arozarena,,Brandon Lowe,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Single,False,1,TOP,6,-2,1,,Isaac Paredes,Randy Arozarena,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Double,False,1,TOP,7,-4,1,Josh Lowe,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Balk,False,1,TOP,8,-5,1,,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Game Advisory,False,1,TOP,8,-6,1,,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
Groundout,False,1,TOP,8,-6,1,,,,Levi Stoudt,Drew Rasmussen,Jonathan India,TJ Friedl,Jake Fraley,Tyler Stephenson,Kevin Newman,Jason Vosler,Stuart Fairchild,Jose Barrero,Luke Maile,Yandy Diaz,Brandon Lowe,Randy Arozarena,Luke Raley,Isaac Paredes,Josh Lowe,Manuel Margot,Taylor Walls,Christian Bethancourt,Tyler Stephenson,Luke Maile,Jason Vosler,Jonathan India,Kevin Newman,Jose Barrero,Stuart Fairchild,TJ Friedl,Jake Fraley,Randy Arozarena,Christian Bethancourt,Yandy Diaz,Brandon Lowe,Isaac Paredes,Taylor Walls,Luke Raley,Manuel Margot,Josh Lowe
