Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Single,False,1,TOP,1,0,0,,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Walk,False,1,TOP,2,0,0,Marcus Semien,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Flyout,False,1,TOP,3,0,0,Travis Jankowski,Marcus Semien,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Sac Fly,False,1,TOP,4,0,1,Travis Jankowski,,Marcus Semien,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Flyout,False,1,TOP,5,-1,2,Travis Jankowski,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Groundout,False,1,BOTTOM,6,-1,0,,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Lineout,False,1,BOTTOM,7,-1,1,,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Flyout,False,1,BOTTOM,8,-1,2,,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Walk,False,2,TOP,9,-1,0,,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
Strikeout,False,2,TOP,10,-1,0,Jonah Heim,,,Brady Singer,Martin Perez,Bobby Witt Jr.,Edward Olivares,Vinnie Pasquantino,Salvador Perez,Franmil Reyes,MJ Melendez,Matt Duffy,Hunter Dozier,Jackie Bradley Jr.,Marcus Semien,Travis Jankowski,Nathaniel Lowe,Adolis Garcia,Josh Jung,Jonah Heim,Ezequiel Duran,Josh Smith,Leody Taveras,Salvador Perez,MJ Melendez,Vinnie Pasquantino,Matt Duffy,Hunter Dozier,Bobby Witt Jr.,Franmil Reyes,Jackie Bradley Jr.,Edward Olivares,Ezequiel Duran,Jonah Heim,Nathaniel Lowe,Marcus Semien,Josh Jung,Josh Smith,Travis Jankowski,Leody Taveras,Adolis Garcia
