Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Game Advisory,False,1,TOP,1,0,0,,,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Single,False,1,TOP,1,0,0,,,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Single,False,1,TOP,2,0,0,George Springer,,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Flyout,False,1,TOP,3,0,0,Bo Bichette,George Springer,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Double,False,1,TOP,4,0,1,Bo Bichette,,George Springer,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Single,False,1,TOP,5,-1,1,,Daulton Varsho,Bo Bichette,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Lineout,False,1,TOP,6,-3,1,Alejandro Kirk,,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Single,False,1,TOP,7,-3,2,Alejandro Kirk,,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Strikeout,False,1,TOP,8,-3,2,Matt Chapman,Alejandro Kirk,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
Single,False,1,BOTTOM,9,-3,0,,,,Miles Mikolas,Alek Manoah,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Willson Contreras,Tyler O'Neill,Nolan Gorman,Jordan Walker,Tommy Edman,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Daulton Varsho,Alejandro Kirk,Brandon Belt,Matt Chapman,Whit Merrifield,Kevin Kiermaier,Nolan Gorman,Willson Contreras,Paul Goldschmidt,Brendan Donovan,Nolan Arenado,Tommy Edman,Lars Nootbaar,Tyler O'Neill,Jordan Walker,Brandon Belt,Alejandro Kirk,Vladimir Guerrero Jr.,Whit Merrifield,Matt Chapman,Bo Bichette,Daulton Varsho,Kevin Kiermaier,George Springer
