Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Game Advisory,False,1,TOP,1,0,0,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Single,False,1,TOP,1,0,0,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Flyout,False,1,TOP,2,0,0,Brandon Nimmo,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Flyout,False,1,TOP,3,0,1,Brandon Nimmo,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Strikeout,False,1,TOP,4,0,2,Brandon Nimmo,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Lineout,False,1,BOTTOM,5,0,0,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Groundout,False,1,BOTTOM,6,0,1,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Double,False,1,BOTTOM,7,0,2,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Groundout,False,1,BOTTOM,8,0,2,,Brent Rooker,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Flyout,False,2,TOP,9,0,0,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Home Run,False,2,TOP,10,0,1,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Single,False,2,TOP,11,-1,1,,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Groundout,False,2,TOP,12,-1,1,Jeff McNeil,,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
Flyout,False,2,TOP,13,-1,2,,Jeff McNeil,,JP Sears,Jose Butto,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Mark Canha,Tommy Pham,Jeff McNeil,Eduardo Escobar,Francisco Alvarez,Brent Rooker,Shea Langeliers,Ryan Noda,Aledmys Diaz,Jace Peterson,Kevin Smith,Tony Kemp,Esteury Ruiz,Ramon Laureano,Mark Canha,Francisco Alvarez,Pete Alonso,Jeff McNeil,Eduardo Escobar,Francisco Lindor,Tommy Pham,Brandon Nimmo,Starling Marte
