Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Walk,False,1,TOP,1,0,0,,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Flyout,False,1,TOP,2,0,0,LaMonte Wade Jr.,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Strikeout,False,1,TOP,3,0,1,LaMonte Wade Jr.,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Strikeout,False,1,TOP,4,0,2,LaMonte Wade Jr.,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Groundout,False,1,BOTTOM,5,0,0,,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Single,False,1,BOTTOM,6,0,1,,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Single,False,1,BOTTOM,7,0,1,Luis Robert Jr.,,,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Strikeout,False,1,BOTTOM,8,0,1,Andrew Benintendi,,Luis Robert Jr.,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Double,False,1,BOTTOM,9,0,2,Andrew Benintendi,,Luis Robert Jr.,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
Single,False,1,BOTTOM,10,1,2,,Andrew Vaughn,Andrew Benintendi,Dylan Cease,Logan Webb,Tim Anderson,Luis Robert Jr.,Andrew Benintendi,Yoan Moncada,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,Oscar Colas,Elvis Andrus,LaMonte Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,J.D. Davis,Brandon Crawford,Blake Sabol,Roberto Perez,Gavin Sheets,Yasmani Grandal,Andrew Vaughn,Elvis Andrus,Yoan Moncada,Tim Anderson,Andrew Benintendi,Luis Robert Jr.,Oscar Colas,Joc Pederson,Roberto Perez,LaMonte Wade Jr.,David Villar,J.D. Davis,Brandon Crawford,Blake Sabol,Mike Yastrzemski,Michael Conforto
