Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Single,False,1,TOP,1,0,0,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Groundout,False,1,TOP,2,0,0,641487 - J.P. Crawford,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Flyout,False,1,TOP,3,0,1,,641487 - J.P. Crawford,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Groundout,False,1,TOP,4,0,2,,641487 - J.P. Crawford,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Groundout,False,1,BOTTOM,5,0,0,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Flyout,False,1,BOTTOM,6,0,1,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Groundout,False,1,BOTTOM,7,0,2,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Lineout,False,2,TOP,8,0,0,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Strikeout,False,2,TOP,9,0,1,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
Strikeout,False,2,TOP,10,0,2,,,,605397 - Joe Musgrove,669302 - Logan Gilbert,673490 - Ha-Seong Kim,665487 - Fernando Tatis Jr.,665742 - Juan Soto,592518 - Manny Machado,596142 - Gary Sanchez,630105 - Jake Cronenworth,641525 - Brandon Dixon,596059 - Rougned Odor,543592 - Austin Nola,641487 - J.P. Crawford,677594 - Julio Rodriguez,664034 - Ty France,672284 - Jarred Kelenic,606192 - Teoscar Hernandez,663728 - Cal Raleigh,553993 - Eugenio Suarez,645801 - Mike Ford,543939 - Kolten Wong,596142 - Gary Sanchez,543592 - Austin Nola,630105 - Jake Cronenworth,596059 - Rougned Odor,592518 - Manny Machado,673490 - Ha-Seong Kim,665742 - Juan Soto,665487 - Fernando Tatis Jr.,641525 - Brandon Dixon,645801 - Mike Ford,663728 - Cal Raleigh,664034 - Ty France,543939 - Kolten Wong,553993 - Eugenio Suarez,641487 - J.P. Crawford,672284 - Jarred Kelenic,677594 - Julio Rodriguez,606192 - Teoscar Hernandez
