Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Groundout,False,1,TOP,2,0,1,,,,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Lineout,False,1,TOP,3,0,2,,,,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Double,False,1,BOTTOM,4,0,0,,,,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Single,False,1,BOTTOM,5,0,0,,Mookie Betts,,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Strikeout,False,1,BOTTOM,6,0,0,Freddie Freeman,,Mookie Betts,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Hit By Pitch,False,1,BOTTOM,7,0,1,Freddie Freeman,,Mookie Betts,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Sac Fly,False,1,BOTTOM,8,0,1,Max Muncy,Freddie Freeman,Mookie Betts,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Walk,False,1,BOTTOM,9,1,2,Max Muncy,Freddie Freeman,,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
Home Run,False,1,BOTTOM,10,1,2,Miguel Vargas,Max Muncy,Freddie Freeman,Clayton Kershaw,Madison Bumgarner,Mookie Betts,Freddie Freeman,J.D. Martinez,Max Muncy,Chris Taylor,Miguel Vargas,Trayce Thompson,Miguel Rojas,Austin Barnes,Kyle Lewis,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Evan Longoria,Corbin Carroll,Nick Ahmed,Gabriel Moreno,Alek Thomas,J.D. Martinez,Austin Barnes,Freddie Freeman,Miguel Vargas,Max Muncy,Miguel Rojas,Chris Taylor,Trayce Thompson,Mookie Betts,Kyle Lewis,Gabriel Moreno,Christian Walker,Ketel Marte,Evan Longoria,Nick Ahmed,Lourdes Gurriel Jr.,Alek Thomas,Corbin Carroll
