Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Pop Out,False,1,TOP,1,0,0,,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Lineout,False,1,TOP,2,0,1,,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Flyout,False,1,TOP,3,0,2,,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Single,False,1,BOTTOM,4,0,0,,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Stolen Base 2B,True,1,BOTTOM,5,0,0,663538.0,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Single,False,1,BOTTOM,5,0,0,,663538.0,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Strikeout,False,1,BOTTOM,6,1,0,621020.0,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Strikeout Double Play,False,1,BOTTOM,7,1,1,621020.0,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Walk,False,2,TOP,8,1,0,,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
Strikeout,False,2,TOP,9,1,0,642133.0,,,592791,641778,663538,621020,664023,641820,543228,641355,621550,620443,663611,592885,608385,642715,642133,605119,669003,605170,668930,686894,620443.0,543228,641820,663538,663611,621020,664023,641355,621550,608385,605170,642133,668930,605119,642715,592885,669003,686894
