Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Home Run,False,1,TOP,1,0,0,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Strikeout,False,1,TOP,2,-1,0,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Flyout,False,1,TOP,3,-1,1,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Strikeout,False,1,TOP,4,-1,2,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Lineout,False,1,BOTTOM,5,-1,0,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Flyout,False,1,BOTTOM,6,-1,1,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Strikeout,False,1,BOTTOM,7,-1,2,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Single,False,2,TOP,8,-1,0,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Grounded Into DP,False,2,TOP,9,-1,0,Darin Ruf,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
Strikeout,False,2,TOP,10,-1,2,,,,Joey Wentz,Sean Manaea,Matt Vierling,Tyler Nevin,Riley Greene,Javier Baez,Eric Haase,Spencer Torkelson,Miguel Cabrera,Jonathan Schoop,Jake Rogers,Thairo Estrada,Wilmer Flores,Mike Yastrzemski,J.D. Davis,Darin Ruf,David Villar,Brandon Crawford,Joey Bart,Heliot Ramos,Miguel Cabrera,Jake Rogers,Spencer Torkelson,Jonathan Schoop,Tyler Nevin,Javier Baez,Eric Haase,Riley Greene,Matt Vierling,Darin Ruf,Joey Bart,Wilmer Flores,David Villar,J.D. Davis,Brandon Crawford,Thairo Estrada,Mike Yastrzemski,Heliot Ramos
