Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Single,False,1,TOP,1,0,0,,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Game Advisory,False,1,TOP,2,0,0,Brandon Nimmo,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Grounded Into DP,False,1,TOP,2,0,0,Brandon Nimmo,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Strikeout,False,1,TOP,3,0,2,,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Walk,False,1,BOTTOM,4,0,0,,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Flyout,False,1,BOTTOM,5,0,0,LaMonte Wade Jr.,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Strikeout,False,1,BOTTOM,6,0,1,LaMonte Wade Jr.,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Single,False,1,BOTTOM,7,0,2,LaMonte Wade Jr.,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Groundout,False,1,BOTTOM,8,0,2,J.D. Davis,LaMonte Wade Jr.,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
Walk,False,2,TOP,9,0,0,,,,Sean Manaea,Kodai Senga,LaMonte Wade Jr.,Thairo Estrada,Michael Conforto,J.D. Davis,Mike Yastrzemski,Wilmer Flores,Brandon Crawford,Blake Sabol,Brett Wisely,Brandon Nimmo,Mark Canha,Francisco Lindor,Pete Alonso,Tommy Pham,Jeff McNeil,Eduardo Escobar,Luis Guillorme,Tomas Nido,Michael Conforto,Blake Sabol,Wilmer Flores,Thairo Estrada,J.D. Davis,Brandon Crawford,LaMonte Wade Jr.,Brett Wisely,Mike Yastrzemski,Tommy Pham,Tomas Nido,Pete Alonso,Luis Guillorme,Eduardo Escobar,Francisco Lindor,Mark Canha,Brandon Nimmo,Jeff McNeil
